Column		Type		Invalid	Empty	EmptyWithMean	Not_Stated	unknown	Total_Missing	NotApplicable	Total	Revision
DOB_YY		nominal		66	33	0		0		0	99		0		4255188	UR
DOB_MM		nominal		0	99	0		0		0	99		0		4255188	UR
DOB_WK		nominal		0	99	0		0		0	99		0		4255188	UR
OSTATE		nominal		0	4255188	0		0		0	4255188		0		4255188	UR
OCNTYFIPS	nominal		55	4255133	0		0		0	4255188		0		4255188	UR
OCNTYPOP	numerical	33	4255155	0		0		0	4255188		0		4255188	UR
BFACIL		nominal		0	1493847	0		0		177	1494024		0		4255188	R
UBFACIL		nominal		0	99	0		0		261	360		0		4255188	UR
BFACIL3		nominal		0	99	0		0		261	360		0		4255188	UR
MAGE_IMPFLG	nominal		82	0	4254633		0		0	82		0		4255188	UR
MAGE_REPFLG	nominal		59	0	4110934		0		0	59		0		4255188	UR
MAGER		nominal		99	0	0		0		0	99		0		4255188	UR
MAGER14		nominal		33	66	0		0		0	99		0		4255188	UR
MAGER9		nominal		0	99	0		0		0	99		0		4255188	UR
MBCNTRY		nominal		0	4255188	0		0		0	4255188		0		4255188	R
MRTERR		nominal		0	4255188	0		0		0	4255188		0		4255188	UR
MRCNTY		nominal		0	4255188	0		0		0	4255188		0		4255188	UR
RCNTY_POP	nominal		33	4255155	0		0		0	4251888		0		4255188	UR
RECTYPE		nominal		33	33	0		0		0	66		0		4255188	UR
RESTATUS	nominal		2	65	0		0		0	67		0		4255188	UR
MBRACE		nominal		32	1342543	0		0		0	1342575		0		4255188	R
MRACE		nominal		66	2912607	0		0		0	2912673		0		4255188	U
MRACEREC	nominal		29	66	0		0		0	95		0		4255188	UR
MRACEIMP	nominal		23	0	4028323		0		0	23		0		4255188	UR
UMHISP		nominal		0	99	0		0		0	99		0		4255188	UR
MRACEHISP	nominal		0	44	0		0		0	44		0		4255188	UR
MAR		nominal		17	66	0		2		0	85		0		4255188	UR
MAR_IMP		nominal		12	0	4253024		0		0	12		0		4255188	UR
MEDUC		nominal		0	1493836	0		0		36309	1530145		0		4255188	R
UMEDUC		nominal		11	2761429	0		14025		0	2775465		0		4255188	U
MEDUC_REC	nominal		0	2761440	0		14025		0	2775465		0		4255188	U
FAGERPT_FLG	nominal		0	0	4126383		0		0	0		0		4255188	UR
FAGECOMB	nominal		54	1493757	0		363452		0	1857263		0		4255188	R
UFAGECOMB	nominal		33	9	0		594403		0	594445		0		4255188	U
FAGEREC11	nominal		37	42	0		594397		0	594476		0		4255188	UR
FBRACE		nominal		66	1342515	0		564508		0	1907089		0		4255188	R
FRACEREC	nominal		18	66	0		807645		0	807729		0		4255188	UR
UFHISP		nominal		0	90	0		649846		0	649936		0		4255188	UR
FRACEHISP	nominal		0	90	0		649846		0	649936		0		4255188	UR	
UFRACE		nominal		0	2912702	0		243135		0	3155837		0		4255188	U
LBO		numerical	0	99	0		26632		0	26731		0		4255188	UR
TBO		numerical	16	33	0		51115		0	51164		0		4255188	UR
DLLB_MM		nominal		12	33	0		1620994		0	1621049		1107024		4255188	R
DLLB_YY		nominal		33	66	0		1558833		0	1558932		1107005		4255188	R
PRECARE		nominal		22	1493825	0		162976		0	1656823		0		4255188	R
PRECARE_REC	nominal		0	1493847	0		162976		0	1656823		0		4255188	R
MPCB		nominal		11	2761429	0		26191		0	2787631		0		4255188	U
MPCB_REC6	nominal		0	2761440	0		26191		0	2787631		0		4255188	U
MPCB_REC5	nominal		0	2761440	0		26191		0	2787631		0		4255188	U
UPREVIS		numerical	4	33	0		175601		0	175638		0		4255188	UR	
PREVIS_REC	nominal		63	33	0		175599		0	175695		0		4255188	UR
WTGAIN		numerical	34	65	0		266002		0	266101		0		4255188	UR
WTGAIN_REC	nominal		17	76	0		266006		0	266099		0		4255188	UR
DFPC_IMP	binary		43	0	4050870		0		0	43		0		4255188	R
CIG_1		numerical	0	1493792	0		518591		0	2012383		0		4255188	R
CIG_2		numerical	0	1493803	0		518727		0	2012530		0		4255188	R
CIG_3		numerical	22	1493803	0		518666		0	2012491		0		4255188	R
TOBUSE		binary		32	2761407	0		5302		0	2766741		0		4255188	U
CIGS		numerical	33	2761407	0		8990		0	2770430		0		4255188	U
UCIG_REC	nominal		0	2761440	0		8990		0	2770430		0		4255188	U
CIG_REC		binary		0	1493847	0		518375		0	2012222		0		4255188	R
RF_DIAB		binary		0	1493781	0		22342		0	1516123		0		4255188	R
RF_GEST		binary		0	1493803	0		22342		0	1516145		0		4255188	R
RF_PHYP		binary		0	1493803	0		22342		0	1516145		0		4255188	R
RF_GHYP		binary		0	1493825	0		22342		0	1516167		0		4255188	R
RF_ECLAM	binary		0	1493825	0		22342		0	1516167		0		4255188	R
RF_PPTERM	binary		0	1493825	0		22342		0	1516167		0		4255188	R
RF_PPOUTC	binary		22	1493825	0		22342		0	1516189		0		4255188	R
RF_CESAR	binary		22	1493825	0		20261		0	1514108		0		4255188	R
RF_CESARN	numerical	33	1493814	0		23549		0	1517396		0		4255188	R
URF_DIAB	binary		0	33	0		27559		0	27592		0		4255188	UR
URF_CHYPER	binary		0	66	0		27559		0	27625		0		4255188	UR
URF_PHYPER	binary		0	99	0		27559		0	27658		0		4255188	UR
URF_ECLAM	binary		0	99	0		27559		0	27658		0		4255188	UR
OP_CERV		binary		33	1493792	0		34328		0	1528153		0		4255188	R
OP_TOCOL	binary		0	1493825	0		34328		0	1528153		0		4255188	R
OP_ECVS		binary		66	1493781	0		34328		0	1528175		0		4255188	R
OP_ECVF		binary		0	1493847	0		34328		0	1528175		0		4255188	R
UOP_INDUC	binary		22	44	0		25110		0	25176		0		4255188	UR
UOP_TOCOL	binary		44	55	0		41114		0	41213		0		4255188	UR
ON_RUPTR	binary		0	1493781	0		32980		0	1526761		0		4255188	R
ON_PRECIP	binary		0	1493781	0		32988		0	1526769		0		4255188	R
ON_PROL		binary		0	1493781	0		32988		0	1526769		0		4255188	R
LD_INDL		binary		0	1493781	0		18324		0	1512105		0		4255188	R
LD_AUGM		binary		0	1493781	0		18324		0	1512105		0		4255188	R
LD_NVPR		binary		0	1493781	0		18324		0	1512105		0		4255188	R
LD_STER		binary		0	1493803	0		18324		0	1512127		0		4255188	R
LD_ANTI		binary		33	1493770	0		18324		0	1512127		0		4255188	R
LD_CHOR		binary		0	1493825	0		18324		0	1512149		0		4255188	R
LD_MECS		binary		33	1493792	0		18324		0	1512149		0		4255188	R
LD_FINT		binary		0	1493847	0		18324		0	1512171		0		4255188	R
LD_ANES		binary		33	1493814	0		18324		0	1512171		0		4255188	R
